Time [s],h3_Real [cm],h3_PINN [cm],h4_Real [cm],h4_PINN [cm]
0.05,1.8824955,1.9306782,1.352244,1.3398674
0.1,1.8523122,1.8807645,1.3655696,1.3516539
0.15000000000000002,1.7855743,1.8505806,1.3850478,1.364923
0.2,1.7946643,1.7840909,1.3688655,1.384232
0.25,1.8216245,1.7930907,1.3727727,1.3680631
0.30000000000000004,1.7822747,1.8200984,1.3644973,1.3720465
0.35000000000000003,1.7681985,1.7807443,1.3631253,1.3636879
0.4,1.7761675,1.7666419,1.365341,1.3622954
0.45,1.7905724,1.7746412,1.3824081,1.364504
0.5,1.7620716,1.7891603,1.3874048,1.3815626
0.55,1.7531517,1.760678,1.3904207,1.3864849
0.6000000000000001,1.7583088,1.7517484,1.4089836,1.3894873
0.65,1.7716054,1.756968,1.396148,1.4080459
0.7000000000000001,1.7633007,1.7702502,1.3728204,1.3952383
0.75,1.7554525,1.7618433,1.3767356,1.3719182
0.8,1.7600975,1.754009,1.3726755,1.3758152
0.8500000000000001,1.7619101,1.7586468,1.3797419,1.371772
0.9,1.7670492,1.7605058,1.3773408,1.3788289
0.9500000000000001,1.7714032,1.7656226,1.378153,1.3764569
1.0,1.7634827,1.7700027,1.3850422,1.3772738
1.05,1.7620757,1.7621082,1.3873403,1.3841213
1.1,1.762183,1.7607083,1.3892196,1.3864162
1.1500000000000001,1.7608173,1.7608382,1.3835083,1.388285
1.2000000000000002,1.7658873,1.7594666,1.370597,1.3825747
1.25,1.7615044,1.7644951,1.3824233,1.3696896
1.3,1.764491,1.7601666,1.3830886,1.3814807
1.35,1.7601066,1.763158,1.3863467,1.3821436
1.4000000000000001,1.7615455,1.7587755,1.3871645,1.3853921
1.4500000000000002,1.7640165,1.7602025,1.3903416,1.3862143
1.5,1.7650583,1.7626874,1.3977629,1.3893944
1.55,1.766415,1.763754,1.4009607,1.3968102
1.6,1.7644677,1.7651274,1.3972639,1.4000046
1.6500000000000001,1.760666,1.7631792,1.3977665,1.3963078
1.7000000000000002,1.7624279,1.7593621,1.4004269,1.3967946
1.75,1.7612134,1.7611337,1.4013813,1.3994571
1.8,1.7600255,1.7599198,1.4009415,1.4004084
1.85,1.7543454,1.7587249,1.394957,1.3999664
1.9000000000000001,1.7548155,1.7530267,1.3865206,1.393975
1.9500000000000002,1.7568625,1.7534685,1.3855298,1.385542
2.0,1.7565761,1.7555001,1.3928308,1.3845586
2.0500000000000003,1.7576354,1.7552395,1.3917062,1.3918552
2.1,1.757364,1.756298,1.3907871,1.3907334
2.15,1.7611599,1.7560203,1.3851662,1.3898183
2.2,1.7627361,1.7598025,1.3807932,1.384209
2.25,1.7593247,1.761363,1.3807204,1.3798481
2.3000000000000003,1.7503084,1.7579603,1.3816118,1.3797611
2.35,1.7546004,1.7489431,1.3794569,1.3806248
2.4000000000000004,1.7497373,1.7532295,1.3749646,1.3784834
2.45,1.7500495,1.7483492,1.3801007,1.3739928
2.5,1.749765,1.74869,1.3780336,1.3791231
2.5500000000000003,1.7488889,1.7484047,1.3797574,1.3770535
2.6,1.7534518,1.7475328,1.3833336,1.3787723
2.6500000000000004,1.7548764,1.7521039,1.3842219,1.3823587
2.7,1.7551913,1.7535322,1.3811911,1.3832479
2.75,1.7620113,1.7538418,1.3846635,1.380212
2.8000000000000003,1.7586371,1.7606902,1.3874327,1.3836921
2.85,1.7606221,1.7573166,1.3881718,1.3864409
2.9000000000000004,1.7562113,1.7593071,1.3954569,1.3871819
2.95,1.756789,1.7549071,1.395675,1.3944508
3.0,1.7572249,1.7554814,1.3980213,1.3946787
3.0500000000000003,1.7616961,1.7559329,1.3992974,1.3970196
3.1,1.761956,1.7603935,1.4026263,1.3983145
3.1500000000000004,1.759689,1.7606597,1.4057128,1.4016497
3.2,1.7590361,1.7584059,1.4107851,1.4047216
3.25,1.7571698,1.7577772,1.4091706,1.4097878
3.3000000000000003,1.7536435,1.7559108,1.4137521,1.4081619
3.35,1.7568318,1.752397,1.419342,1.4127353
3.4000000000000004,1.7512056,1.7555962,1.420105,1.418334
3.45,1.7476494,1.7499757,1.4143019,1.4190805
3.5,1.7461106,1.7463982,1.4114655,1.413269
3.5500000000000003,1.7471517,1.7448498,1.4129971,1.4104232
3.6,1.7487476,1.7459024,1.4162924,1.4119532
3.6500000000000004,1.7426156,1.7475085,1.4155225,1.4152474
3.7,1.7436112,1.7413728,1.4139708,1.4144673
3.75,1.7420775,1.7423496,1.4142687,1.4129207
3.8000000000000003,1.7422645,1.7408165,1.4152063,1.4132072
3.85,1.7342553,1.7410078,1.4149448,1.4141407
3.9000000000000004,1.7350166,1.7329897,1.416342,1.4138601
3.95,1.7350502,1.7337518,1.4148625,1.4152565
4.0,1.7348405,1.7337734,1.4160817,1.4137837
4.05,1.7330627,1.7335685,1.4175875,1.4150058
4.1000000000000005,1.7309084,1.7317948,1.4198447,1.4165059
4.15,1.7292825,1.729651,1.4175688,1.4187564
4.2,1.7336266,1.7280092,1.421946,1.4164767
4.25,1.7388127,1.7323709,1.4220016,1.4208652
4.3,1.7426188,1.7375582,1.4211812,1.4209356
4.3500000000000005,1.7401395,1.7413641,1.4214677,1.4201273
4.4,1.7439586,1.7388873,1.4175014,1.4204054
4.45,1.7429744,1.7427047,1.4136628,1.41645
4.5,1.7414151,1.7417074,1.414701,1.4126136
4.55,1.742527,1.7401502,1.4142525,1.4136494
4.6000000000000005,1.7405442,1.7412586,1.4185059,1.4132012
